State,Sex,Age Group,Year,Ethnic Group,Value ('000 Person)
W.P Kuala Lumpur,Female, 55 - 59,1989,Bumiputera,5.4
W.P Kuala Lumpur,Female, 55 - 59,1989,Chinese,6.4
W.P Kuala Lumpur,Female, 55 - 59,1989,Indians,1.6
W.P Kuala Lumpur,Female, 55 - 59,1989,Others,0.1
W.P Kuala Lumpur,Female, 55 - 59,1990,Total Ethnic Group,14
W.P Kuala Lumpur,Female, 55 - 59,1990,Bumiputera,5.9
W.P Kuala Lumpur,Female, 55 - 59,1990,Chinese,6.4
W.P Kuala Lumpur,Female, 55 - 59,1990,Indians,1.6
W.P Kuala Lumpur,Female, 55 - 59,1990,Others,0.1
W.P Kuala Lumpur,Female, 60 - 64,1980,Total Ethnic Group,7.8
W.P Kuala Lumpur,Female, 60 - 64,1980,Bumiputera,1.2
W.P Kuala Lumpur,Female, 60 - 64,1980,Chinese,5.6
W.P Kuala Lumpur,Female, 60 - 64,1980,Indians,1
W.P Kuala Lumpur,Female, 60 - 64,1980,Others,0.1
W.P Kuala Lumpur,Female, 60 - 64,1981,Total Ethnic Group,7.9
W.P Kuala Lumpur,Female, 60 - 64,1981,Bumiputera,1.2
W.P Kuala Lumpur,Female, 60 - 64,1981,Chinese,5.5
W.P Kuala Lumpur,Female, 60 - 64,1981,Indians,1.1
W.P Kuala Lumpur,Female, 60 - 64,1981,Others,0.1
W.P Kuala Lumpur,Female, 60 - 64,1982,Total Ethnic Group,8
W.P Kuala Lumpur,Female, 60 - 64,1982,Bumiputera,1.3
W.P Kuala Lumpur,Female, 60 - 64,1982,Chinese,5.4
W.P Kuala Lumpur,Female, 60 - 64,1982,Indians,1.1
W.P Kuala Lumpur,Female, 60 - 64,1982,Others,0.1
W.P Kuala Lumpur,Female, 60 - 64,1983,Total Ethnic Group,8.3
W.P Kuala Lumpur,Female, 60 - 64,1983,Bumiputera,1.4
W.P Kuala Lumpur,Female, 60 - 64,1983,Chinese,5.6
W.P Kuala Lumpur,Female, 60 - 64,1983,Indians,1.1
W.P Kuala Lumpur,Female, 60 - 64,1983,Others,0.1
W.P Kuala Lumpur,Female, 60 - 64,1984,Total Ethnic Group,8.4
W.P Kuala Lumpur,Female, 60 - 64,1984,Bumiputera,1.5
W.P Kuala Lumpur,Female, 60 - 64,1984,Chinese,5.6
W.P Kuala Lumpur,Female, 60 - 64,1984,Indians,1.2
W.P Kuala Lumpur,Female, 60 - 64,1984,Others,0.1
W.P Kuala Lumpur,Female, 60 - 64,1985,Total Ethnic Group,8.8
W.P Kuala Lumpur,Female, 60 - 64,1985,Bumiputera,1.6
W.P Kuala Lumpur,Female, 60 - 64,1985,Chinese,5.7
W.P Kuala Lumpur,Female, 60 - 64,1985,Indians,1.3
W.P Kuala Lumpur,Female, 60 - 64,1985,Others,0.1
W.P Kuala Lumpur,Female, 60 - 64,1986,Total Ethnic Group,9.1
W.P Kuala Lumpur,Female, 60 - 64,1986,Bumiputera,2
W.P Kuala Lumpur,Female, 60 - 64,1986,Chinese,5.6
W.P Kuala Lumpur,Female, 60 - 64,1986,Indians,1.3
W.P Kuala Lumpur,Female, 60 - 64,1986,Others,0.1
W.P Kuala Lumpur,Female, 60 - 64,1987,Total Ethnic Group,9.4
W.P Kuala Lumpur,Female, 60 - 64,1987,Bumiputera,2.5
W.P Kuala Lumpur,Female, 60 - 64,1987,Chinese,5.5
W.P Kuala Lumpur,Female, 60 - 64,1987,Indians,1.3
W.P Kuala Lumpur,Female, 60 - 64,1987,Others,0.1
W.P Kuala Lumpur,Female, 60 - 64,1988,Total Ethnic Group,9.8
W.P Kuala Lumpur,Female, 60 - 64,1988,Bumiputera,3
W.P Kuala Lumpur,Female, 60 - 64,1988,Chinese,5.4
W.P Kuala Lumpur,Female, 60 - 64,1988,Indians,1.3
W.P Kuala Lumpur,Female, 60 - 64,1988,Others,0.1
W.P Kuala Lumpur,Female, 60 - 64,1989,Total Ethnic Group,10.2
W.P Kuala Lumpur,Female, 60 - 64,1989,Bumiputera,3.7
W.P Kuala Lumpur,Female, 60 - 64,1989,Chinese,5.2
W.P Kuala Lumpur,Female, 60 - 64,1989,Indians,1.2
W.P Kuala Lumpur,Female, 60 - 64,1989,Others,0.1
W.P Kuala Lumpur,Female, 60 - 64,1990,Total Ethnic Group,10.5
W.P Kuala Lumpur,Female, 60 - 64,1990,Bumiputera,4.4
W.P Kuala Lumpur,Female, 60 - 64,1990,Chinese,4.9
W.P Kuala Lumpur,Female, 60 - 64,1990,Indians,1.2
W.P Kuala Lumpur,Female, 60 - 64,1990,Others,0.1
W.P Kuala Lumpur,Female, 65 - 69,1980,Total Ethnic Group,6.5
W.P Kuala Lumpur,Female, 65 - 69,1980,Bumiputera,0.8
W.P Kuala Lumpur,Female, 65 - 69,1980,Chinese,4.9
W.P Kuala Lumpur,Female, 65 - 69,1980,Indians,0.8
W.P Kuala Lumpur,Female, 65 - 69,1980,Others,0.1
W.P Kuala Lumpur,Female, 65 - 69,1981,Total Ethnic Group,6.4
W.P Kuala Lumpur,Female, 65 - 69,1981,Bumiputera,0.8
W.P Kuala Lumpur,Female, 65 - 69,1981,Chinese,4.7
W.P Kuala Lumpur,Female, 65 - 69,1981,Indians,0.8
W.P Kuala Lumpur,Female, 65 - 69,1981,Others,0.1
W.P Kuala Lumpur,Female, 65 - 69,1982,Total Ethnic Group,6.7
W.P Kuala Lumpur,Female, 65 - 69,1982,Bumiputera,0.9
W.P Kuala Lumpur,Female, 65 - 69,1982,Chinese,4.8
W.P Kuala Lumpur,Female, 65 - 69,1982,Indians,0.8
W.P Kuala Lumpur,Female, 65 - 69,1982,Others,0.1
W.P Kuala Lumpur,Female, 65 - 69,1983,Total Ethnic Group,6.6
W.P Kuala Lumpur,Female, 65 - 69,1983,Bumiputera,1
W.P Kuala Lumpur,Female, 65 - 69,1983,Chinese,4.7
W.P Kuala Lumpur,Female, 65 - 69,1983,Indians,0.9
W.P Kuala Lumpur,Female, 65 - 69,1983,Others,0.1
W.P Kuala Lumpur,Female, 65 - 69,1984,Total Ethnic Group,6.7
W.P Kuala Lumpur,Female, 65 - 69,1984,Bumiputera,1
W.P Kuala Lumpur,Female, 65 - 69,1984,Chinese,4.7
W.P Kuala Lumpur,Female, 65 - 69,1984,Indians,0.9
W.P Kuala Lumpur,Female, 65 - 69,1984,Others,0.1
W.P Kuala Lumpur,Female, 65 - 69,1985,Total Ethnic Group,6.7
W.P Kuala Lumpur,Female, 65 - 69,1985,Bumiputera,1.1
W.P Kuala Lumpur,Female, 65 - 69,1985,Chinese,4.7
W.P Kuala Lumpur,Female, 65 - 69,1985,Indians,0.9
W.P Kuala Lumpur,Female, 65 - 69,1985,Others,0.1
W.P Kuala Lumpur,Female, 65 - 69,1986,Total Ethnic Group,6.9
W.P Kuala Lumpur,Female, 65 - 69,1986,Bumiputera,1.2
W.P Kuala Lumpur,Female, 65 - 69,1986,Chinese,4.7
W.P Kuala Lumpur,Female, 65 - 69,1986,Indians,0.9
W.P Kuala Lumpur,Female, 65 - 69,1986,Others,0.1
W.P Kuala Lumpur,Female, 65 - 69,1987,Total Ethnic Group,7
W.P Kuala Lumpur,Female, 65 - 69,1987,Bumiputera,1.3
W.P Kuala Lumpur,Female, 65 - 69,1987,Chinese,4.7
W.P Kuala Lumpur,Female, 65 - 69,1987,Indians,1
W.P Kuala Lumpur,Female, 65 - 69,1987,Others,0.1
W.P Kuala Lumpur,Female, 65 - 69,1988,Total Ethnic Group,7.2
W.P Kuala Lumpur,Female, 65 - 69,1988,Bumiputera,1.4
W.P Kuala Lumpur,Female, 65 - 69,1988,Chinese,4.8
W.P Kuala Lumpur,Female, 65 - 69,1988,Indians,1
W.P Kuala Lumpur,Female, 65 - 69,1988,Others,0.1
W.P Kuala Lumpur,Female, 65 - 69,1989,Total Ethnic Group,7.4
W.P Kuala Lumpur,Female, 65 - 69,1989,Bumiputera,1.4
W.P Kuala Lumpur,Female, 65 - 69,1989,Chinese,4.9
W.P Kuala Lumpur,Female, 65 - 69,1989,Indians,1
W.P Kuala Lumpur,Female, 65 - 69,1989,Others,0.1
W.P Kuala Lumpur,Female, 65 - 69,1990,Total Ethnic Group,7.6
W.P Kuala Lumpur,Female, 65 - 69,1990,Bumiputera,1.5
W.P Kuala Lumpur,Female, 65 - 69,1990,Chinese,5
W.P Kuala Lumpur,Female, 65 - 69,1990,Indians,1.1
W.P Kuala Lumpur,Female, 65 - 69,1990,Others,0.1
W.P Kuala Lumpur,Female, 70 - 74,1980,Total Ethnic Group,4.5
W.P Kuala Lumpur,Female, 70 - 74,1980,Bumiputera,0.4
W.P Kuala Lumpur,Female, 70 - 74,1980,Chinese,3.6
W.P Kuala Lumpur,Female, 70 - 74,1980,Indians,0.4
W.P Kuala Lumpur,Female, 70 - 74,1980,Others,0
W.P Kuala Lumpur,Female, 70 - 74,1981,Total Ethnic Group,4.6
W.P Kuala Lumpur,Female, 70 - 74,1981,Bumiputera,0.5
W.P Kuala Lumpur,Female, 70 - 74,1981,Chinese,3.6
W.P Kuala Lumpur,Female, 70 - 74,1981,Indians,0.5
W.P Kuala Lumpur,Female, 70 - 74,1981,Others,0
W.P Kuala Lumpur,Female, 70 - 74,1982,Total Ethnic Group,4.7
W.P Kuala Lumpur,Female, 70 - 74,1982,Bumiputera,0.5
W.P Kuala Lumpur,Female, 70 - 74,1982,Chinese,3.6
W.P Kuala Lumpur,Female, 70 - 74,1982,Indians,0.5
W.P Kuala Lumpur,Female, 70 - 74,1982,Others,0
W.P Kuala Lumpur,Female, 70 - 74,1983,Total Ethnic Group,4.9
W.P Kuala Lumpur,Female, 70 - 74,1983,Bumiputera,0.5
W.P Kuala Lumpur,Female, 70 - 74,1983,Chinese,3.8
W.P Kuala Lumpur,Female, 70 - 74,1983,Indians,0.5
W.P Kuala Lumpur,Female, 70 - 74,1983,Others,0
W.P Kuala Lumpur,Female, 70 - 74,1984,Total Ethnic Group,4.9
W.P Kuala Lumpur,Female, 70 - 74,1984,Bumiputera,0.6
W.P Kuala Lumpur,Female, 70 - 74,1984,Chinese,3.8
W.P Kuala Lumpur,Female, 70 - 74,1984,Indians,0.5
W.P Kuala Lumpur,Female, 70 - 74,1984,Others,0
W.P Kuala Lumpur,Female, 70 - 74,1985,Total Ethnic Group,5.1
W.P Kuala Lumpur,Female, 70 - 74,1985,Bumiputera,0.7
W.P Kuala Lumpur,Female, 70 - 74,1985,Chinese,3.8
W.P Kuala Lumpur,Female, 70 - 74,1985,Indians,0.6
W.P Kuala Lumpur,Female, 70 - 74,1985,Others,0
W.P Kuala Lumpur,Female, 70 - 74,1986,Total Ethnic Group,5.2
W.P Kuala Lumpur,Female, 70 - 74,1986,Bumiputera,0.8
W.P Kuala Lumpur,Female, 70 - 74,1986,Chinese,3.8
W.P Kuala Lumpur,Female, 70 - 74,1986,Indians,0.6
W.P Kuala Lumpur,Female, 70 - 74,1986,Others,0
W.P Kuala Lumpur,Female, 70 - 74,1987,Total Ethnic Group,5.4
W.P Kuala Lumpur,Female, 70 - 74,1987,Bumiputera,0.9
W.P Kuala Lumpur,Female, 70 - 74,1987,Chinese,3.8
W.P Kuala Lumpur,Female, 70 - 74,1987,Indians,0.7
W.P Kuala Lumpur,Female, 70 - 74,1987,Others,0
W.P Kuala Lumpur,Female, 70 - 74,1988,Total Ethnic Group,5.3
W.P Kuala Lumpur,Female, 70 - 74,1988,Bumiputera,0.9
W.P Kuala Lumpur,Female, 70 - 74,1988,Chinese,3.7
W.P Kuala Lumpur,Female, 70 - 74,1988,Indians,0.7
W.P Kuala Lumpur,Female, 70 - 74,1988,Others,0
W.P Kuala Lumpur,Female, 70 - 74,1989,Total Ethnic Group,5.4
W.P Kuala Lumpur,Female, 70 - 74,1989,Bumiputera,1
W.P Kuala Lumpur,Female, 70 - 74,1989,Chinese,3.7
W.P Kuala Lumpur,Female, 70 - 74,1989,Indians,0.7
W.P Kuala Lumpur,Female, 70 - 74,1989,Others,0
W.P Kuala Lumpur,Female, 70 - 74,1990,Total Ethnic Group,5.5
W.P Kuala Lumpur,Female, 70 - 74,1990,Bumiputera,1
W.P Kuala Lumpur,Female, 70 - 74,1990,Chinese,3.7
W.P Kuala Lumpur,Female, 70 - 74,1990,Indians,0.7
W.P Kuala Lumpur,Female, 70 - 74,1990,Others,0
W.P Kuala Lumpur,Female, 75 - 79,1980,Total Ethnic Group,2.7
W.P Kuala Lumpur,Female, 75 - 79,1980,Bumiputera,0.2
W.P Kuala Lumpur,Female, 75 - 79,1980,Chinese,2.3
W.P Kuala Lumpur,Female, 75 - 79,1980,Indians,0.1
W.P Kuala Lumpur,Female, 75 - 79,1980,Others,0
W.P Kuala Lumpur,Female, 75 - 79,1981,Total Ethnic Group,2.7
W.P Kuala Lumpur,Female, 75 - 79,1981,Bumiputera,0.3
W.P Kuala Lumpur,Female, 75 - 79,1981,Chinese,2.3
W.P Kuala Lumpur,Female, 75 - 79,1981,Indians,0.2
W.P Kuala Lumpur,Female, 75 - 79,1981,Others,0
W.P Kuala Lumpur,Female, 75 - 79,1982,Total Ethnic Group,3
W.P Kuala Lumpur,Female, 75 - 79,1982,Bumiputera,0.3
W.P Kuala Lumpur,Female, 75 - 79,1982,Chinese,2.5
W.P Kuala Lumpur,Female, 75 - 79,1982,Indians,0.2
W.P Kuala Lumpur,Female, 75 - 79,1982,Others,0
W.P Kuala Lumpur,Female, 75 - 79,1983,Total Ethnic Group,3.1
W.P Kuala Lumpur,Female, 75 - 79,1983,Bumiputera,0.3
W.P Kuala Lumpur,Female, 75 - 79,1983,Chinese,2.5
W.P Kuala Lumpur,Female, 75 - 79,1983,Indians,0.2
W.P Kuala Lumpur,Female, 75 - 79,1983,Others,0
W.P Kuala Lumpur,Female, 75 - 79,1984,Total Ethnic Group,3.3
W.P Kuala Lumpur,Female, 75 - 79,1984,Bumiputera,0.3
W.P Kuala Lumpur,Female, 75 - 79,1984,Chinese,2.6
W.P Kuala Lumpur,Female, 75 - 79,1984,Indians,0.3
W.P Kuala Lumpur,Female, 75 - 79,1984,Others,0
W.P Kuala Lumpur,Female, 75 - 79,1985,Total Ethnic Group,3.3
W.P Kuala Lumpur,Female, 75 - 79,1985,Bumiputera,0.3
W.P Kuala Lumpur,Female, 75 - 79,1985,Chinese,2.6
W.P Kuala Lumpur,Female, 75 - 79,1985,Indians,0.3
W.P Kuala Lumpur,Female, 75 - 79,1985,Others,0
W.P Kuala Lumpur,Female, 75 - 79,1986,Total Ethnic Group,3.4
W.P Kuala Lumpur,Female, 75 - 79,1986,Bumiputera,0.3
W.P Kuala Lumpur,Female, 75 - 79,1986,Chinese,2.7
W.P Kuala Lumpur,Female, 75 - 79,1986,Indians,0.4
W.P Kuala Lumpur,Female, 75 - 79,1986,Others,0
W.P Kuala Lumpur,Female, 75 - 79,1987,Total Ethnic Group,3.4
W.P Kuala Lumpur,Female, 75 - 79,1987,Bumiputera,0.3
W.P Kuala Lumpur,Female, 75 - 79,1987,Chinese,2.6
W.P Kuala Lumpur,Female, 75 - 79,1987,Indians,0.4
W.P Kuala Lumpur,Female, 75 - 79,1987,Others,0
W.P Kuala Lumpur,Female, 75 - 79,1988,Total Ethnic Group,3.6
W.P Kuala Lumpur,Female, 75 - 79,1988,Bumiputera,0.4
W.P Kuala Lumpur,Female, 75 - 79,1988,Chinese,2.8
W.P Kuala Lumpur,Female, 75 - 79,1988,Indians,0.4
W.P Kuala Lumpur,Female, 75 - 79,1988,Others,0
W.P Kuala Lumpur,Female, 75 - 79,1989,Total Ethnic Group,3.6
W.P Kuala Lumpur,Female, 75 - 79,1989,Bumiputera,0.5
W.P Kuala Lumpur,Female, 75 - 79,1989,Chinese,2.7
W.P Kuala Lumpur,Female, 75 - 79,1989,Indians,0.4
W.P Kuala Lumpur,Female, 75 - 79,1989,Others,0
W.P Kuala Lumpur,Female, 75 - 79,1990,Total Ethnic Group,3.7
W.P Kuala Lumpur,Female, 75 - 79,1990,Bumiputera,0.6
W.P Kuala Lumpur,Female, 75 - 79,1990,Chinese,2.6
W.P Kuala Lumpur,Female, 75 - 79,1990,Indians,0.5
W.P Kuala Lumpur,Female, 75 - 79,1990,Others,0
W.P Kuala Lumpur,Female, 80+,1980,Total Ethnic Group,2
W.P Kuala Lumpur,Female, 80+,1980,Bumiputera,0.2
W.P Kuala Lumpur,Female, 80+,1980,Chinese,1.7
W.P Kuala Lumpur,Female, 80+,1980,Indians,0.1
W.P Kuala Lumpur,Female, 80+,1980,Others,0
W.P Kuala Lumpur,Female, 80+,1981,Total Ethnic Group,2
W.P Kuala Lumpur,Female, 80+,1981,Bumiputera,0.2
W.P Kuala Lumpur,Female, 80+,1981,Chinese,1.7
W.P Kuala Lumpur,Female, 80+,1981,Indians,0.1
W.P Kuala Lumpur,Female, 80+,1981,Others,0
W.P Kuala Lumpur,Female, 80+,1982,Total Ethnic Group,2.1
W.P Kuala Lumpur,Female, 80+,1982,Bumiputera,0.2
W.P Kuala Lumpur,Female, 80+,1982,Chinese,1.7
W.P Kuala Lumpur,Female, 80+,1982,Indians,0.1
W.P Kuala Lumpur,Female, 80+,1982,Others,0
W.P Kuala Lumpur,Female, 80+,1983,Total Ethnic Group,2.2
W.P Kuala Lumpur,Female, 80+,1983,Bumiputera,0.2
W.P Kuala Lumpur,Female, 80+,1983,Chinese,1.8
W.P Kuala Lumpur,Female, 80+,1983,Indians,0.1
W.P Kuala Lumpur,Female, 80+,1983,Others,0
W.P Kuala Lumpur,Female, 80+,1984,Total Ethnic Group,2.3
W.P Kuala Lumpur,Female, 80+,1984,Bumiputera,0.2
W.P Kuala Lumpur,Female, 80+,1984,Chinese,1.9
W.P Kuala Lumpur,Female, 80+,1984,Indians,0.1
W.P Kuala Lumpur,Female, 80+,1984,Others,0
W.P Kuala Lumpur,Female, 80+,1985,Total Ethnic Group,2.5
W.P Kuala Lumpur,Female, 80+,1985,Bumiputera,0.2
W.P Kuala Lumpur,Female, 80+,1985,Chinese,2.1
W.P Kuala Lumpur,Female, 80+,1985,Indians,0.1
W.P Kuala Lumpur,Female, 80+,1985,Others,0
W.P Kuala Lumpur,Female, 80+,1986,Total Ethnic Group,2.6
W.P Kuala Lumpur,Female, 80+,1986,Bumiputera,0.3
W.P Kuala Lumpur,Female, 80+,1986,Chinese,2.1
W.P Kuala Lumpur,Female, 80+,1986,Indians,0.1
W.P Kuala Lumpur,Female, 80+,1986,Others,0
W.P Kuala Lumpur,Female, 80+,1987,Total Ethnic Group,2.7
W.P Kuala Lumpur,Female, 80+,1987,Bumiputera,0.3
W.P Kuala Lumpur,Female, 80+,1987,Chinese,2.2
W.P Kuala Lumpur,Female, 80+,1987,Indians,0.2
W.P Kuala Lumpur,Female, 80+,1987,Others,0
W.P Kuala Lumpur,Female, 80+,1988,Total Ethnic Group,2.8
W.P Kuala Lumpur,Female, 80+,1988,Bumiputera,0.4
W.P Kuala Lumpur,Female, 80+,1988,Chinese,2.2
W.P Kuala Lumpur,Female, 80+,1988,Indians,0.2
W.P Kuala Lumpur,Female, 80+,1988,Others,0
W.P Kuala Lumpur,Female, 80+,1989,Total Ethnic Group,2.9
W.P Kuala Lumpur,Female, 80+,1989,Bumiputera,0.3
W.P Kuala Lumpur,Female, 80+,1989,Chinese,2.3
W.P Kuala Lumpur,Female, 80+,1989,Indians,0.2
W.P Kuala Lumpur,Female, 80+,1989,Others,0
W.P Kuala Lumpur,Female, 80+,1990,Total Ethnic Group,3
W.P Kuala Lumpur,Female, 80+,1990,Bumiputera,0.3
W.P Kuala Lumpur,Female, 80+,1990,Chinese,2.4
W.P Kuala Lumpur,Female, 80+,1990,Indians,0.3
W.P Kuala Lumpur,Female, 80+,1990,Others,0
W.P Kuala Lumpur,Total Sex,Total Age Group,1991,Total Ethnic Group,1262.1
W.P Kuala Lumpur,Total Sex,Total Age Group,1991,Bumiputera,4.2
W.P Kuala Lumpur,Total Sex,Total Age Group,1991,Malay,465.9
W.P Kuala Lumpur,Total Sex,Total Age Group,1991,Chinese,580.9
W.P Kuala Lumpur,Total Sex,Total Age Group,1991,Indians,141
W.P Kuala Lumpur,Total Sex,Total Age Group,1991,Other Malaysian,14.6
W.P Kuala Lumpur,Total Sex,Total Age Group,1991,Non-Malaysian Citizens,55.5
W.P Kuala Lumpur,Total Sex,Total Age Group,1992,Total Ethnic Group,1281.5
W.P Kuala Lumpur,Total Sex,Total Age Group,1992,Bumiputera,5
W.P Kuala Lumpur,Total Sex,Total Age Group,1992,Malay,476.8
W.P Kuala Lumpur,Total Sex,Total Age Group,1992,Chinese,581.7
W.P Kuala Lumpur,Total Sex,Total Age Group,1992,Indians,142.4
W.P Kuala Lumpur,Total Sex,Total Age Group,1992,Other Malaysian,16
W.P Kuala Lumpur,Total Sex,Total Age Group,1992,Non-Malaysian Citizens,59.6
W.P Kuala Lumpur,Total Sex,Total Age Group,1993,Total Ethnic Group,1298.7
W.P Kuala Lumpur,Total Sex,Total Age Group,1993,Bumiputera,5.7
W.P Kuala Lumpur,Total Sex,Total Age Group,1993,Malay,486.8
W.P Kuala Lumpur,Total Sex,Total Age Group,1993,Chinese,581.8
W.P Kuala Lumpur,Total Sex,Total Age Group,1993,Indians,143.5
W.P Kuala Lumpur,Total Sex,Total Age Group,1993,Other Malaysian,16.4
W.P Kuala Lumpur,Total Sex,Total Age Group,1993,Non-Malaysian Citizens,64.5
W.P Kuala Lumpur,Total Sex,Total Age Group,1994,Total Ethnic Group,1314.4
W.P Kuala Lumpur,Total Sex,Total Age Group,1994,Bumiputera,6.5
W.P Kuala Lumpur,Total Sex,Total Age Group,1994,Malay,496.5
W.P Kuala Lumpur,Total Sex,Total Age Group,1994,Chinese,581.1
W.P Kuala Lumpur,Total Sex,Total Age Group,1994,Indians,144.5
W.P Kuala Lumpur,Total Sex,Total Age Group,1994,Other Malaysian,16.4
W.P Kuala Lumpur,Total Sex,Total Age Group,1994,Non-Malaysian Citizens,69.4
W.P Kuala Lumpur,Total Sex,Total Age Group,1995,Total Ethnic Group,1328.9
W.P Kuala Lumpur,Total Sex,Total Age Group,1995,Bumiputera,7.2
W.P Kuala Lumpur,Total Sex,Total Age Group,1995,Malay,506.1
W.P Kuala Lumpur,Total Sex,Total Age Group,1995,Chinese,579.8
W.P Kuala Lumpur,Total Sex,Total Age Group,1995,Indians,145.1
W.P Kuala Lumpur,Total Sex,Total Age Group,1995,Other Malaysian,16.6
W.P Kuala Lumpur,Total Sex,Total Age Group,1995,Non-Malaysian Citizens,74
W.P Kuala Lumpur,Total Sex,Total Age Group,1996,Total Ethnic Group,1342.5
W.P Kuala Lumpur,Total Sex,Total Age Group,1996,Bumiputera,8.1
W.P Kuala Lumpur,Total Sex,Total Age Group,1996,Malay,515.6
W.P Kuala Lumpur,Total Sex,Total Age Group,1996,Chinese,578.1
W.P Kuala Lumpur,Total Sex,Total Age Group,1996,Indians,145.7
W.P Kuala Lumpur,Total Sex,Total Age Group,1996,Other Malaysian,16.8
W.P Kuala Lumpur,Total Sex,Total Age Group,1996,Non-Malaysian Citizens,78.3
W.P Kuala Lumpur,Total Sex,Total Age Group,1997,Total Ethnic Group,1356.4
W.P Kuala Lumpur,Total Sex,Total Age Group,1997,Bumiputera,8.9
W.P Kuala Lumpur,Total Sex,Total Age Group,1997,Malay,525.3
W.P Kuala Lumpur,Total Sex,Total Age Group,1997,Chinese,576.2
W.P Kuala Lumpur,Total Sex,Total Age Group,1997,Indians,146.3
W.P Kuala Lumpur,Total Sex,Total Age Group,1997,Other Malaysian,17
W.P Kuala Lumpur,Total Sex,Total Age Group,1997,Non-Malaysian Citizens,82.7
W.P Kuala Lumpur,Total Sex,Total Age Group,1998,Total Ethnic Group,1373
W.P Kuala Lumpur,Total Sex,Total Age Group,1998,Bumiputera,9.9
W.P Kuala Lumpur,Total Sex,Total Age Group,1998,Malay,536.2
W.P Kuala Lumpur,Total Sex,Total Age Group,1998,Chinese,574.9
W.P Kuala Lumpur,Total Sex,Total Age Group,1998,Indians,147.1
W.P Kuala Lumpur,Total Sex,Total Age Group,1998,Other Malaysian,17.3
W.P Kuala Lumpur,Total Sex,Total Age Group,1998,Non-Malaysian Citizens,87.7
W.P Kuala Lumpur,Total Sex,Total Age Group,1999,Total Ethnic Group,1394
W.P Kuala Lumpur,Total Sex,Total Age Group,1999,Bumiputera,10.9
W.P Kuala Lumpur,Total Sex,Total Age Group,1999,Malay,548.4
W.P Kuala Lumpur,Total Sex,Total Age Group,1999,Chinese,575.6
W.P Kuala Lumpur,Total Sex,Total Age Group,1999,Indians,148.3
W.P Kuala Lumpur,Total Sex,Total Age Group,1999,Other Malaysian,17.6
W.P Kuala Lumpur,Total Sex,Total Age Group,1999,Non-Malaysian Citizens,93.2
W.P Kuala Lumpur,Total Sex,Total Age Group,2000,Total Ethnic Group,1416
W.P Kuala Lumpur,Total Sex,Total Age Group,2000,Bumiputera,12
W.P Kuala Lumpur,Total Sex,Total Age Group,2000,Malay,560.7
W.P Kuala Lumpur,Total Sex,Total Age Group,2000,Chinese,576.6
W.P Kuala Lumpur,Total Sex,Total Age Group,2000,Indians,149.6
W.P Kuala Lumpur,Total Sex,Total Age Group,2000,Other Malaysian,17.6
W.P Kuala Lumpur,Total Sex,Total Age Group,2000,Non-Malaysian Citizens,99.5
W.P Kuala Lumpur,Total Sex,Total Age Group,2001,Total Ethnic Group,1446.2
W.P Kuala Lumpur,Total Sex,Total Age Group,2001,Bumiputera,12.6
W.P Kuala Lumpur,Total Sex,Total Age Group,2001,Malay,574.4
W.P Kuala Lumpur,Total Sex,Total Age Group,2001,Chinese,586
W.P Kuala Lumpur,Total Sex,Total Age Group,2001,Indians,150.8
W.P Kuala Lumpur,Total Sex,Total Age Group,2001,Other Malaysian,17.7
W.P Kuala Lumpur,Total Sex,Total Age Group,2001,Non-Malaysian Citizens,104.7
W.P Kuala Lumpur,Total Sex,Total Age Group,2002,Total Ethnic Group,1474.1
W.P Kuala Lumpur,Total Sex,Total Age Group,2002,Bumiputera,13.3
W.P Kuala Lumpur,Total Sex,Total Age Group,2002,Malay,587.6
W.P Kuala Lumpur,Total Sex,Total Age Group,2002,Chinese,594
W.P Kuala Lumpur,Total Sex,Total Age Group,2002,Indians,152
W.P Kuala Lumpur,Total Sex,Total Age Group,2002,Other Malaysian,17.7
W.P Kuala Lumpur,Total Sex,Total Age Group,2002,Non-Malaysian Citizens,109.6
W.P Kuala Lumpur,Total Sex,Total Age Group,2003,Total Ethnic Group,1500.5
W.P Kuala Lumpur,Total Sex,Total Age Group,2003,Bumiputera,13.9
W.P Kuala Lumpur,Total Sex,Total Age Group,2003,Malay,599.7
W.P Kuala Lumpur,Total Sex,Total Age Group,2003,Chinese,602
W.P Kuala Lumpur,Total Sex,Total Age Group,2003,Indians,153
W.P Kuala Lumpur,Total Sex,Total Age Group,2003,Other Malaysian,17.9
W.P Kuala Lumpur,Total Sex,Total Age Group,2003,Non-Malaysian Citizens,114
W.P Kuala Lumpur,Total Sex,Total Age Group,2004,Total Ethnic Group,1526.4
W.P Kuala Lumpur,Total Sex,Total Age Group,2004,Bumiputera,14.6
W.P Kuala Lumpur,Total Sex,Total Age Group,2004,Malay,611.7
W.P Kuala Lumpur,Total Sex,Total Age Group,2004,Chinese,609.6
W.P Kuala Lumpur,Total Sex,Total Age Group,2004,Indians,153.9
W.P Kuala Lumpur,Total Sex,Total Age Group,2004,Other Malaysian,18
W.P Kuala Lumpur,Total Sex,Total Age Group,2004,Non-Malaysian Citizens,118.6
W.P Kuala Lumpur,Total Sex,Total Age Group,2005,Total Ethnic Group,1551.8
W.P Kuala Lumpur,Total Sex,Total Age Group,2005,Bumiputera,15.4
W.P Kuala Lumpur,Total Sex,Total Age Group,2005,Malay,623.4
