Year,State,Contingent PDRM District,Type of Crime,Number of Crime
2016,Johor,Iskandar Puteri,Robbery,0
2016,Johor,Johor Bahru Selatan,Causing injury,200
2016,Johor,Johor Bahru Selatan,Murder,15
2016,Johor,Johor Bahru Selatan,Rape,42
2016,Johor,Johor Bahru Selatan,Robbery,720
2016,Johor,Johor Bahru Utara,Causing injury,129
2016,Johor,Johor Bahru Utara,Murder,7
2016,Johor,Johor Bahru Utara,Rape,23
2016,Johor,Johor Bahru Utara,Robbery,369
2016,Johor,Kluang,Causing injury,58
2016,Johor,Kluang,Murder,4
2016,Johor,Kluang,Rape,37
2016,Johor,Kluang,Robbery,57
2016,Johor,Kota Tinggi,Causing injury,11
2016,Johor,Kota Tinggi,Murder,8
2016,Johor,Kota Tinggi,Rape,19
2016,Johor,Kota Tinggi,Robbery,71
2016,Johor,Kulaijaya,Causing injury,47
2016,Johor,Kulaijaya,Murder,7
2016,Johor,Kulaijaya,Rape,4
2016,Johor,Kulaijaya,Robbery,98
2016,Johor,Ledang,Causing injury,17
2016,Johor,Ledang,Murder,1
2016,Johor,Ledang,Rape,12
2016,Johor,Ledang,Robbery,20
2016,Johor,Mersing,Causing injury,7
2016,Johor,Mersing,Murder,1
2016,Johor,Mersing,Rape,9
2016,Johor,Mersing,Robbery,25
2016,Johor,Muar,Causing injury,19
2016,Johor,Muar,Murder,7
2016,Johor,Muar,Rape,12
2016,Johor,Muar,Robbery,18
2016,Johor,Nusajaya,Causing injury,73
2016,Johor,Nusajaya,Murder,3
2016,Johor,Nusajaya,Rape,21
2016,Johor,Nusajaya,Robbery,96
2016,Johor,Pontian,Causing injury,21
2016,Johor,Pontian,Murder,2
2016,Johor,Pontian,Rape,23
2016,Johor,Pontian,Robbery,17
2016,Johor,Segamat,Causing injury,19
2016,Johor,Segamat,Murder,1
2016,Johor,Segamat,Rape,11
2016,Johor,Segamat,Robbery,26
2016,Johor,Seri Alam,Causing injury,68
2016,Johor,Seri Alam,Murder,8
2016,Johor,Seri Alam,Rape,32
2016,Johor,Seri Alam,Robbery,165
2016,Kedah,Baling,Causing injury,31
2016,Kedah,Baling,Murder,2
2016,Kedah,Baling,Rape,8
2016,Kedah,Baling,Robbery,28
2016,Kedah,Bandar Bharu,Causing injury,7
2016,Kedah,Bandar Bharu,Murder,0
2016,Kedah,Bandar Bharu,Rape,1
2016,Kedah,Bandar Bharu,Robbery,12
2016,Kedah,Kota Setar,Causing injury,94
2016,Kedah,Kota Setar,Murder,2
2016,Kedah,Kota Setar,Rape,37
2016,Kedah,Kota Setar,Robbery,210
2016,Kedah,Kuala Muda,Causing injury,108
2016,Kedah,Kuala Muda,Murder,6
2016,Kedah,Kuala Muda,Rape,29
2016,Kedah,Kuala Muda,Robbery,222
2016,Kedah,Kubang Pasu,Causing injury,46
2016,Kedah,Kubang Pasu,Murder,1
2016,Kedah,Kubang Pasu,Rape,20
2016,Kedah,Kubang Pasu,Robbery,51
2016,Kedah,Kulim,Causing injury,46
2016,Kedah,Kulim,Murder,4
2016,Kedah,Kulim,Rape,24
2016,Kedah,Kulim,Robbery,75
2016,Kedah,Langkawi,Causing injury,31
2016,Kedah,Langkawi,Murder,1
2016,Kedah,Langkawi,Rape,16
2016,Kedah,Langkawi,Robbery,11
2016,Kedah,Padang Terap,Causing injury,9
2016,Kedah,Padang Terap,Murder,1
2016,Kedah,Padang Terap,Rape,10
2016,Kedah,Padang Terap,Robbery,6
2016,Kedah,Pendang,Causing injury,14
2016,Kedah,Pendang,Murder,0
2016,Kedah,Pendang,Rape,7
2016,Kedah,Pendang,Robbery,29
2016,Kedah,Sik,Causing injury,5
2016,Kedah,Sik,Murder,0
2016,Kedah,Sik,Rape,11
2016,Kedah,Sik,Robbery,4
2016,Kedah,Yan,Causing injury,7
2016,Kedah,Yan,Murder,0
2016,Kedah,Yan,Rape,2
2016,Kedah,Yan,Robbery,11
2016,Kelantan,Bachok,Causing injury,54
2016,Kelantan,Bachok,Murder,1
2016,Kelantan,Bachok,Rape,21
2016,Kelantan,Bachok,Robbery,9
2016,Kelantan,Gua Musang,Causing injury,27
2016,Kelantan,Gua Musang,Murder,3
2016,Kelantan,Gua Musang,Rape,8
2016,Kelantan,Gua Musang,Robbery,3
2016,Kelantan,Jeli,Causing injury,2
2016,Kelantan,Jeli,Murder,0
2016,Kelantan,Jeli,Rape,5
2016,Kelantan,Jeli,Robbery,1
2016,Kelantan,Kota Bharu,Causing injury,58
2016,Kelantan,Kota Bharu,Murder,0
2016,Kelantan,Kota Bharu,Rape,35
2016,Kelantan,Kota Bharu,Robbery,34
2016,Kelantan,Kuala Krai,Causing injury,24
2016,Kelantan,Kuala Krai,Murder,1
2016,Kelantan,Kuala Krai,Rape,15
2016,Kelantan,Kuala Krai,Robbery,7
2016,Kelantan,Machang,Causing injury,11
2016,Kelantan,Machang,Murder,0
2016,Kelantan,Machang,Rape,7
2016,Kelantan,Machang,Robbery,4
2016,Kelantan,Pasir Mas,Causing injury,32
2016,Kelantan,Pasir Mas,Murder,3
2016,Kelantan,Pasir Mas,Rape,21
2016,Kelantan,Pasir Mas,Robbery,9
2016,Kelantan,Pasir Puteh,Causing injury,36
2016,Kelantan,Pasir Puteh,Murder,0
2016,Kelantan,Pasir Puteh,Rape,12
2016,Kelantan,Pasir Puteh,Robbery,17
2016,Kelantan,Tanah Merah,Causing injury,22
2016,Kelantan,Tanah Merah,Murder,1
2016,Kelantan,Tanah Merah,Rape,10
2016,Kelantan,Tanah Merah,Robbery,1
2016,Kelantan,Tumpat,Causing injury,25
2016,Kelantan,Tumpat,Murder,1
2016,Kelantan,Tumpat,Rape,10
2016,Kelantan,Tumpat,Robbery,13
2016,Melaka,Alor Gajah,Causing injury,30
2016,Melaka,Alor Gajah,Murder,4
2016,Melaka,Alor Gajah,Rape,10
2016,Melaka,Alor Gajah,Robbery,71
2016,Melaka,Jasin,Causing injury,13
2016,Melaka,Jasin,Murder,4
2016,Melaka,Jasin,Rape,8
2016,Melaka,Jasin,Robbery,31
2016,Melaka,Melaka Tengah,Causing injury,150
2016,Melaka,Melaka Tengah,Murder,5
2016,Melaka,Melaka Tengah,Rape,42
2016,Melaka,Melaka Tengah,Robbery,786
2016,Negeri Sembilan,Jelebu,Causing injury,6
2016,Negeri Sembilan,Jelebu,Murder,0
2016,Negeri Sembilan,Jelebu,Rape,4
2016,Negeri Sembilan,Jelebu,Robbery,8
2016,Negeri Sembilan,Jempol,Causing injury,23
2016,Negeri Sembilan,Jempol,Murder,0
2016,Negeri Sembilan,Jempol,Rape,16
2016,Negeri Sembilan,Jempol,Robbery,22
2016,Negeri Sembilan,Kuala Pilah,Causing injury,21
2016,Negeri Sembilan,Kuala Pilah,Murder,0
2016,Negeri Sembilan,Kuala Pilah,Rape,10
2016,Negeri Sembilan,Kuala Pilah,Robbery,24
2016,Negeri Sembilan,Nilai,Causing injury,62
2016,Negeri Sembilan,Nilai,Murder,6
2016,Negeri Sembilan,Nilai,Rape,16
2016,Negeri Sembilan,Nilai,Robbery,275
2016,Negeri Sembilan,Port Dickson,Causing injury,42
2016,Negeri Sembilan,Port Dickson,Murder,2
2016,Negeri Sembilan,Port Dickson,Rape,10
2016,Negeri Sembilan,Port Dickson,Robbery,56
2016,Negeri Sembilan,Rembau,Causing injury,12
2016,Negeri Sembilan,Rembau,Murder,2
2016,Negeri Sembilan,Rembau,Rape,4
2016,Negeri Sembilan,Rembau,Robbery,14
2016,Negeri Sembilan,Seremban,Causing injury,73
2016,Negeri Sembilan,Seremban,Murder,7
2016,Negeri Sembilan,Seremban,Rape,36
2016,Negeri Sembilan,Seremban,Robbery,270
2016,Negeri Sembilan,Tampin,Causing injury,20
2016,Negeri Sembilan,Tampin,Murder,0
2016,Negeri Sembilan,Tampin,Rape,11
2016,Negeri Sembilan,Tampin,Robbery,32
2016,Pahang,Bentong,Causing injury,33
2016,Pahang,Bentong,Murder,2
2016,Pahang,Bentong,Rape,3
2016,Pahang,Bentong,Robbery,29
2016,Pahang,Bera,Causing injury,6
2016,Pahang,Bera,Murder,0
2016,Pahang,Bera,Rape,9
2016,Pahang,Bera,Robbery,16
2016,Pahang,Cameron Highland,Causing injury,10
2016,Pahang,Cameron Highland,Murder,1
2016,Pahang,Cameron Highland,Rape,2
2016,Pahang,Cameron Highland,Robbery,6
2016,Pahang,Jerantut,Causing injury,21
2016,Pahang,Jerantut,Murder,2
2016,Pahang,Jerantut,Rape,9
2016,Pahang,Jerantut,Robbery,15
2016,Pahang,Kuala Lipis,Causing injury,9
2016,Pahang,Kuala Lipis,Murder,1
2016,Pahang,Kuala Lipis,Rape,8
2016,Pahang,Kuala Lipis,Robbery,3
2016,Pahang,Kuantan,Causing injury,71
2016,Pahang,Kuantan,Murder,5
2016,Pahang,Kuantan,Rape,43
2016,Pahang,Kuantan,Robbery,138
2016,Pahang,Maran,Causing injury,10
2016,Pahang,Maran,Murder,1
2016,Pahang,Maran,Rape,8
2016,Pahang,Maran,Robbery,25
2016,Pahang,Pekan,Causing injury,5
2016,Pahang,Pekan,Murder,1
2016,Pahang,Pekan,Rape,8
2016,Pahang,Pekan,Robbery,5
2016,Pahang,Raub,Causing injury,12
2016,Pahang,Raub,Murder,2
2016,Pahang,Raub,Rape,7
2016,Pahang,Raub,Robbery,2
2016,Pahang,Rompin,Causing injury,15
2016,Pahang,Rompin,Murder,0
2016,Pahang,Rompin,Rape,19
2016,Pahang,Rompin,Robbery,10
2016,Pahang,Temerloh,Causing injury,17
2016,Pahang,Temerloh,Murder,0
2016,Pahang,Temerloh,Rape,18
2016,Pahang,Temerloh,Robbery,44
2016,Perak,Batu Gajah,Causing injury,4
2016,Perak,Batu Gajah,Murder,2
2016,Perak,Batu Gajah,Rape,2
2016,Perak,Batu Gajah,Robbery,20
2016,Perak,Gerik,Causing injury,6
2016,Perak,Gerik,Murder,1
2016,Perak,Gerik,Rape,5
2016,Perak,Gerik,Robbery,3
2016,Perak,Hilir Perak,Causing injury,65
2016,Perak,Hilir Perak,Murder,6
2016,Perak,Hilir Perak,Rape,12
2016,Perak,Hilir Perak,Robbery,56
2016,Perak,Ipoh,Causing injury,120
2016,Perak,Ipoh,Murder,13
2016,Perak,Ipoh,Rape,14
2016,Perak,Ipoh,Robbery,363
2016,Perak,Kampar,Causing injury,11
2016,Perak,Kampar,Murder,1
2016,Perak,Kampar,Rape,2
2016,Perak,Kampar,Robbery,27
2016,Perak,Kerian,Causing injury,14
2016,Perak,Kerian,Murder,2
2016,Perak,Kerian,Rape,3
2016,Perak,Kerian,Robbery,31
2016,Perak,Kuala Kangsar,Causing injury,7
2016,Perak,Kuala Kangsar,Murder,1
2016,Perak,Kuala Kangsar,Rape,6
2016,Perak,Kuala Kangsar,Robbery,12
2016,Perak,Manjung,Causing injury,42
2016,Perak,Manjung,Murder,5
2016,Perak,Manjung,Rape,14
2016,Perak,Manjung,Robbery,44
2016,Perak,Pengkalan Hulu,Causing injury,0
2016,Perak,Pengkalan Hulu,Murder,0
2016,Perak,Pengkalan Hulu,Rape,0
2016,Perak,Pengkalan Hulu,Robbery,1
2016,Perak,Perak Tengah,Causing injury,9
2016,Perak,Perak Tengah,Murder,1
2016,Perak,Perak Tengah,Rape,3
2016,Perak,Perak Tengah,Robbery,7
2016,Perak,Selama,Causing injury,2
2016,Perak,Selama,Murder,0
2016,Perak,Selama,Rape,3
2016,Perak,Selama,Robbery,4
2016,Perak,Sungai Siput,Causing injury,12
2016,Perak,Sungai Siput,Murder,2
2016,Perak,Sungai Siput,Rape,3
2016,Perak,Sungai Siput,Robbery,17
2016,Perak,Taiping,Causing injury,87
2016,Perak,Taiping,Murder,7
2016,Perak,Taiping,Rape,19
2016,Perak,Taiping,Robbery,99
2016,Perak,Tanjong Malim,Causing injury,14
2016,Perak,Tanjong Malim,Murder,0
2016,Perak,Tanjong Malim,Rape,2
2016,Perak,Tanjong Malim,Robbery,28
2016,Perak,Tapah,Causing injury,19
2016,Perak,Tapah,Murder,1
2016,Perak,Tapah,Rape,8
2016,Perak,Tapah,Robbery,33
2016,Perlis,Arau,Causing injury,15
2016,Perlis,Arau,Murder,0
2016,Perlis,Arau,Rape,12
2016,Perlis,Arau,Robbery,7
2016,Perlis,Kangar,Causing injury,25
2016,Perlis,Kangar,Murder,0
2016,Perlis,Kangar,Rape,12
2016,Perlis,Kangar,Robbery,16
2016,Perlis,Padang Besar,Causing injury,12
2016,Perlis,Padang Besar,Murder,0
2016,Perlis,Padang Besar,Rape,7
2016,Perlis,Padang Besar,Robbery,3
2016,Pulau Pinang,Barat Daya,Causing injury,31
2016,Pulau Pinang,Barat Daya,Murder,3
2016,Pulau Pinang,Barat Daya,Rape,11
2016,Pulau Pinang,Barat Daya,Robbery,45
2016,Pulau Pinang,Seberang Perai Selatan,Causing injury,39
2016,Pulau Pinang,Seberang Perai Selatan,Murder,3
2016,Pulau Pinang,Seberang Perai Selatan,Rape,10
2016,Pulau Pinang,Seberang Perai Selatan,Robbery,83
2016,Pulau Pinang,Seberang Perai Tengah,Causing injury,87
2016,Pulau Pinang,Seberang Perai Tengah,Murder,8
2016,Pulau Pinang,Seberang Perai Tengah,Rape,23
2016,Pulau Pinang,Seberang Perai Tengah,Robbery,220
2016,Pulau Pinang,Seberang Perai Utara,Causing injury,44
2016,Pulau Pinang,Seberang Perai Utara,Murder,4
2016,Pulau Pinang,Seberang Perai Utara,Rape,11
2016,Pulau Pinang,Seberang Perai Utara,Robbery,107
2016,Pulau Pinang,Timur Laut,Causing injury,111
2016,Pulau Pinang,Timur Laut,Murder,10
2016,Pulau Pinang,Timur Laut,Rape,10
2016,Pulau Pinang,Timur Laut,Robbery,178
2016,Sabah,Beaufort,Causing injury,2
2016,Sabah,Beaufort,Murder,1
2016,Sabah,Beaufort,Rape,11
2016,Sabah,Beaufort,Robbery,2
2016,Sabah,Beluran,Causing injury,5
2016,Sabah,Beluran,Murder,5
2016,Sabah,Beluran,Rape,4
2016,Sabah,Beluran,Robbery,2
2016,Sabah,Keningau,Causing injury,14
2016,Sabah,Keningau,Murder,6
2016,Sabah,Keningau,Rape,32
2016,Sabah,Keningau,Robbery,6
2016,Sabah,Kota Belud,Causing injury,9
2016,Sabah,Kota Belud,Murder,0
2016,Sabah,Kota Belud,Rape,9
2016,Sabah,Kota Belud,Robbery,4
2016,Sabah,Kota Kinabalu,Causing injury,30
2016,Sabah,Kota Kinabalu,Murder,6
2016,Sabah,Kota Kinabalu,Rape,29
2016,Sabah,Kota Kinabalu,Robbery,42
2016,Sabah,Kota Kinabatangan,Causing injury,4
2016,Sabah,Kota Kinabatangan,Murder,8
2016,Sabah,Kota Kinabatangan,Rape,4
2016,Sabah,Kota Kinabatangan,Robbery,2
2016,Sabah,Kota Marudu,Causing injury,7
2016,Sabah,Kota Marudu,Murder,3
2016,Sabah,Kota Marudu,Rape,7
2016,Sabah,Kota Marudu,Robbery,1
2016,Sabah,Kudat,Causing injury,2
2016,Sabah,Kudat,Murder,2
2016,Sabah,Kudat,Rape,1
2016,Sabah,Kudat,Robbery,3
2016,Sabah,Kunak,Causing injury,5
2016,Sabah,Kunak,Murder,0
2016,Sabah,Kunak,Rape,4
2016,Sabah,Kunak,Robbery,3
2016,Sabah,Lahad Datu,Causing injury,11
2016,Sabah,Lahad Datu,Murder,9
2016,Sabah,Lahad Datu,Rape,6
2016,Sabah,Lahad Datu,Robbery,23
2016,Sabah,Papar,Causing injury,13
2016,Sabah,Papar,Murder,2
2016,Sabah,Papar,Rape,4
2016,Sabah,Papar,Robbery,1
2016,Sabah,Penampang,Causing injury,19
2016,Sabah,Penampang,Murder,1
2016,Sabah,Penampang,Rape,15
2016,Sabah,Penampang,Robbery,13
2016,Sabah,Ranau,Causing injury,9
2016,Sabah,Ranau,Murder,1
2016,Sabah,Ranau,Rape,10
2016,Sabah,Ranau,Robbery,0
2016,Sabah,Sandakan,Causing injury,10
2016,Sabah,Sandakan,Murder,4
2016,Sabah,Sandakan,Rape,1
2016,Sabah,Sandakan,Robbery,31
2016,Sabah,Semporna,Causing injury,13
2016,Sabah,Semporna,Murder,1
2016,Sabah,Semporna,Rape,6
2016,Sabah,Semporna,Robbery,7
2016,Sabah,Sipitang,Causing injury,8
2016,Sabah,Sipitang,Murder,1
2016,Sabah,Sipitang,Rape,6
2016,Sabah,Sipitang,Robbery,1
2016,Sabah,Tawau,Causing injury,27
2016,Sabah,Tawau,Murder,6
2016,Sabah,Tawau,Rape,17
2016,Sabah,Tawau,Robbery,35
2016,Sabah,Tenom,Causing injury,2
2016,Sabah,Tenom,Murder,0
2016,Sabah,Tenom,Rape,9
2016,Sabah,Tenom,Robbery,0
2016,Sabah,Tuaran,Causing injury,10
2016,Sabah,Tuaran,Murder,2
2016,Sabah,Tuaran,Rape,12
2016,Sabah,Tuaran,Robbery,2
2016,Sarawak,Bau,Causing injury,5
2016,Sarawak,Bau,Murder,2
2016,Sarawak,Bau,Rape,1
2016,Sarawak,Bau,Robbery,6
2016,Sarawak,Belaga,Causing injury,6
2016,Sarawak,Belaga,Murder,2
2016,Sarawak,Belaga,Rape,9
2016,Sarawak,Belaga,Robbery,0
2016,Sarawak,Betong,Causing injury,3
2016,Sarawak,Betong,Murder,0
2016,Sarawak,Betong,Rape,2
2016,Sarawak,Betong,Robbery,2
2016,Sarawak,Bintulu,Causing injury,32
2016,Sarawak,Bintulu,Murder,3
2016,Sarawak,Bintulu,Rape,19
2016,Sarawak,Bintulu,Robbery,18
2016,Sarawak,Dalat,Causing injury,2
2016,Sarawak,Dalat,Murder,0
2016,Sarawak,Dalat,Rape,0
2016,Sarawak,Dalat,Robbery,1
2016,Sarawak,Julau,Causing injury,2
2016,Sarawak,Julau,Murder,0
2016,Sarawak,Julau,Rape,1
2016,Sarawak,Julau,Robbery,0
2016,Sarawak,Kanowit,Causing injury,1
2016,Sarawak,Kanowit,Murder,0
2016,Sarawak,Kanowit,Rape,1
2016,Sarawak,Kanowit,Robbery,0
2016,Sarawak,Kapit,Causing injury,8
2016,Sarawak,Kapit,Murder,0
2016,Sarawak,Kapit,Rape,8
2016,Sarawak,Kapit,Robbery,0
2016,Sarawak,Kota Samarahan,Causing injury,16
2016,Sarawak,Kota Samarahan,Murder,3
2016,Sarawak,Kota Samarahan,Rape,3
2016,Sarawak,Kota Samarahan,Robbery,23
2016,Sarawak,Kuching,Causing injury,75
2016,Sarawak,Kuching,Murder,1
2016,Sarawak,Kuching,Rape,12
2016,Sarawak,Kuching,Robbery,115
2016,Sarawak,Lawas,Causing injury,3
2016,Sarawak,Lawas,Murder,0
2016,Sarawak,Lawas,Rape,2
2016,Sarawak,Lawas,Robbery,3
2016,Sarawak,Limbang,Causing injury,11
2016,Sarawak,Limbang,Murder,0
2016,Sarawak,Limbang,Rape,5
2016,Sarawak,Limbang,Robbery,2
2016,Sarawak,Lubok Antu,Causing injury,5
2016,Sarawak,Lubok Antu,Murder,0
2016,Sarawak,Lubok Antu,Rape,0
2016,Sarawak,Lubok Antu,Robbery,1
2016,Sarawak,Lundu,Causing injury,6
2016,Sarawak,Lundu,Murder,0
2016,Sarawak,Lundu,Rape,1
2016,Sarawak,Lundu,Robbery,8
2016,Sarawak,Marudi,Causing injury,20
2016,Sarawak,Marudi,Murder,1
2016,Sarawak,Marudi,Rape,4
2016,Sarawak,Marudi,Robbery,1
2016,Sarawak,Matu Daro,Causing injury,3
2016,Sarawak,Matu Daro,Murder,1
2016,Sarawak,Matu Daro,Rape,3
2016,Sarawak,Matu Daro,Robbery,1
2016,Sarawak,Meradong,Causing injury,3
2016,Sarawak,Meradong,Murder,0
2016,Sarawak,Meradong,Rape,1
2016,Sarawak,Meradong,Robbery,3
2016,Sarawak,Miri,Causing injury,84
2016,Sarawak,Miri,Murder,2
2016,Sarawak,Miri,Rape,18
2016,Sarawak,Miri,Robbery,83
2016,Sarawak,Mukah,Causing injury,6
2016,Sarawak,Mukah,Murder,2
2016,Sarawak,Mukah,Rape,3
2016,Sarawak,Mukah,Robbery,6
2016,Sarawak,Padawan,Causing injury,29
2016,Sarawak,Padawan,Murder,2
2016,Sarawak,Padawan,Rape,19
2016,Sarawak,Padawan,Robbery,55
2016,Sarawak,Saratok,Causing injury,1
2016,Sarawak,Saratok,Murder,0
2016,Sarawak,Saratok,Rape,0
2016,Sarawak,Saratok,Robbery,0
2016,Sarawak,Sarikei,Causing injury,16
2016,Sarawak,Sarikei,Murder,0
2016,Sarawak,Sarikei,Rape,3
2016,Sarawak,Sarikei,Robbery,7
2016,Sarawak,Serian,Causing injury,10
2016,Sarawak,Serian,Murder,0
2016,Sarawak,Serian,Rape,2
2016,Sarawak,Serian,Robbery,7
2016,Sarawak,Sibu,Causing injury,57
2016,Sarawak,Sibu,Murder,7
2016,Sarawak,Sibu,Rape,12
2016,Sarawak,Sibu,Robbery,28
2016,Sarawak,Simunjan,Causing injury,2
2016,Sarawak,Simunjan,Murder,0
2016,Sarawak,Simunjan,Rape,4
2016,Sarawak,Simunjan,Robbery,1
2016,Sarawak,Song,Causing injury,1
2016,Sarawak,Song,Murder,0
2016,Sarawak,Song,Rape,1
2016,Sarawak,Song,Robbery,1
2016,Sarawak,Sri Aman,Causing injury,5
2016,Sarawak,Sri Aman,Murder,0
2016,Sarawak,Sri Aman,Rape,2
2016,Sarawak,Sri Aman,Robbery,2
2016,Sarawak,Tatau,Causing injury,2
2016,Sarawak,Tatau,Murder,1
2016,Sarawak,Tatau,Rape,2
2016,Sarawak,Tatau,Robbery,0
2016,Selangor,Ampang Jaya,Causing injury,66
2016,Selangor,Ampang Jaya,Murder,5
2016,Selangor,Ampang Jaya,Rape,30
2016,Selangor,Ampang Jaya,Robbery,454
2016,Selangor,Gombak,Causing injury,141
2016,Selangor,Gombak,Murder,11
2016,Selangor,Gombak,Rape,39
2016,Selangor,Gombak,Robbery,663
2016,Selangor,Hulu Selangor,Causing injury,18
2016,Selangor,Hulu Selangor,Murder,5
2016,Selangor,Hulu Selangor,Rape,18
2016,Selangor,Hulu Selangor,Robbery,47
2016,Selangor,Kajang,Causing injury,137
2016,Selangor,Kajang,Murder,11
2016,Selangor,Kajang,Rape,24
2016,Selangor,Kajang,Robbery,529
2016,Selangor,Klang Selatan,Causing injury,160
2016,Selangor,Klang Selatan,Murder,13
2016,Selangor,Klang Selatan,Rape,37
2016,Selangor,Klang Selatan,Robbery,460
2016,Selangor,Klang Utara,Causing injury,90
2016,Selangor,Klang Utara,Murder,13
2016,Selangor,Klang Utara,Rape,17
2016,Selangor,Klang Utara,Robbery,319
2016,Selangor,Kuala Langat,Causing injury,57
2016,Selangor,Kuala Langat,Murder,6
2016,Selangor,Kuala Langat,Rape,8
2016,Selangor,Kuala Langat,Robbery,87
2016,Selangor,Kuala Selangor,Causing injury,24
2016,Selangor,Kuala Selangor,Murder,3
2016,Selangor,Kuala Selangor,Rape,18
2016,Selangor,Kuala Selangor,Robbery,83
2016,Selangor,Petaling Jaya,Causing injury,256
2016,Selangor,Petaling Jaya,Murder,9
2016,Selangor,Petaling Jaya,Rape,19
2016,Selangor,Petaling Jaya,Robbery,1020
2016,Selangor,Sabak Bernam,Causing injury,30
2016,Selangor,Sabak Bernam,Murder,3
2016,Selangor,Sabak Bernam,Rape,10
2016,Selangor,Sabak Bernam,Robbery,24
2016,Selangor,Sepang,Causing injury,80
2016,Selangor,Sepang,Murder,5
2016,Selangor,Sepang,Rape,18
2016,Selangor,Sepang,Robbery,155
2016,Selangor,Serdang,Causing injury,55
2016,Selangor,Serdang,Murder,3
2016,Selangor,Serdang,Rape,13
2016,Selangor,Serdang,Robbery,362
2016,Selangor,Sg. Buloh,Causing injury,44
2016,Selangor,Sg. Buloh,Murder,4
2016,Selangor,Sg. Buloh,Rape,20
2016,Selangor,Sg. Buloh,Robbery,238
2016,Selangor,Shah Alam,Causing injury,48
2016,Selangor,Shah Alam,Murder,8
2016,Selangor,Shah Alam,Rape,7
2016,Selangor,Shah Alam,Robbery,217
2016,Selangor,Subang Jaya,Causing injury,54
2016,Selangor,Subang Jaya,Murder,6
2016,Selangor,Subang Jaya,Rape,27
2016,Selangor,Subang Jaya,Robbery,283
2016,Terengganu,Besut,Causing injury,48
2016,Terengganu,Besut,Murder,1
2016,Terengganu,Besut,Rape,13
2016,Terengganu,Besut,Robbery,25
2016,Terengganu,Dungun,Causing injury,39
2016,Terengganu,Dungun,Murder,3
2016,Terengganu,Dungun,Rape,12
2016,Terengganu,Dungun,Robbery,29
2016,Terengganu,Hulu Terengganu,Causing injury,12
2016,Terengganu,Hulu Terengganu,Murder,0
2016,Terengganu,Hulu Terengganu,Rape,5
2016,Terengganu,Hulu Terengganu,Robbery,9
2016,Terengganu,Kemaman,Causing injury,12
2016,Terengganu,Kemaman,Murder,4
2016,Terengganu,Kemaman,Rape,14
2016,Terengganu,Kemaman,Robbery,25
2016,Terengganu,Kuala Terengganu,Causing injury,36
2016,Terengganu,Kuala Terengganu,Murder,1
2016,Terengganu,Kuala Terengganu,Rape,16
2016,Terengganu,Kuala Terengganu,Robbery,46
2016,Terengganu,Marang,Causing injury,14
2016,Terengganu,Marang,Murder,1
2016,Terengganu,Marang,Rape,16
2016,Terengganu,Marang,Robbery,12
2016,Terengganu,Setiu,Causing injury,6
2016,Terengganu,Setiu,Murder,1
2016,Terengganu,Setiu,Rape,5
2016,Terengganu,Setiu,Robbery,2
2016,W.P. Kuala Lumpur,Brickfields,Causing injury,54
2016,W.P. Kuala Lumpur,Brickfields,Murder,6
2016,W.P. Kuala Lumpur,Brickfields,Rape,13
2016,W.P. Kuala Lumpur,Brickfields,Robbery,536
2016,W.P. Kuala Lumpur,Cheras,Causing injury,89
2016,W.P. Kuala Lumpur,Cheras,Murder,7
2016,W.P. Kuala Lumpur,Cheras,Rape,8
2016,W.P. Kuala Lumpur,Cheras,Robbery,354
2016,W.P. Kuala Lumpur,Dang Wangi,Causing injury,201
2016,W.P. Kuala Lumpur,Dang Wangi,Murder,6
2016,W.P. Kuala Lumpur,Dang Wangi,Rape,25
2016,W.P. Kuala Lumpur,Dang Wangi,Robbery,829
2016,W.P. Kuala Lumpur,Sentul,Causing injury,175
2016,W.P. Kuala Lumpur,Sentul,Murder,14
2016,W.P. Kuala Lumpur,Sentul,Rape,24
2016,W.P. Kuala Lumpur,Sentul,Robbery,15
2016,W.P. Kuala Lumpur,Wangsa Maju,Causing injury,120
2016,W.P. Kuala Lumpur,Wangsa Maju,Murder,7
2016,W.P. Kuala Lumpur,Wangsa Maju,Rape,18
2016,W.P. Kuala Lumpur,Wangsa Maju,Robbery,700
2016,W.P. Labuan,W.P. Labuan,Causing injury,13
2016,W.P. Labuan,W.P. Labuan,Murder,2
2016,W.P. Labuan,W.P. Labuan,Rape,6
2016,W.P. Labuan,W.P. Labuan,Robbery,3
2016,W.P. Putrajaya,W.P. Putrajaya,Causing injury,4
2016,W.P. Putrajaya,W.P. Putrajaya,Murder,1
2016,W.P. Putrajaya,W.P. Putrajaya,Rape,5
2016,W.P. Putrajaya,W.P. Putrajaya,Robbery,565
2017,Johor,Batu Pahat,Causing injury,41
2017,Johor,Batu Pahat,Murder,0
2017,Johor,Batu Pahat,Rape,23
2017,Johor,Batu Pahat,Robbery,59
2017,Johor,Iskandar Puteri,Causing injury,54
2017,Johor,Iskandar Puteri,Murder,4
2017,Johor,Iskandar Puteri,Rape,9
2017,Johor,Iskandar Puteri,Robbery,128
2017,Johor,Johor Bahru Selatan,Causing injury,170
2017,Johor,Johor Bahru Selatan,Murder,23
2017,Johor,Johor Bahru Selatan,Rape,28
2017,Johor,Johor Bahru Selatan,Robbery,735
2017,Johor,Johor Bahru Utara,Causing injury,96
2017,Johor,Johor Bahru Utara,Murder,8
2017,Johor,Johor Bahru Utara,Rape,16
